YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
2022 08 01 00 00 228  4.8  5.8 99.00 99.00 99.00 999 1019.3  25.6  25.7  23.0 99.0 99.00 
2022 08 01 00 10 222  5.1  6.0 99.00 99.00 99.00 999 1019.3  25.6  25.7  22.8 99.0 99.00 
2022 08 01 00 20 223  4.8  6.1 99.00 99.00 99.00 999 1019.2  25.7  25.7  22.8 99.0 99.00 
2022 08 01 00 30 216  4.8  5.5 99.00 99.00 99.00 999 1019.2  25.6  25.7  22.8 99.0 99.00 
2022 08 01 00 40 216  4.8  5.8  0.46 10.00  4.36 159 1019.2  25.6  25.7  22.9 99.0 99.00 
2022 08 01 00 50 218  4.9  6.1 99.00 99.00 99.00 999 1019.2  25.6  25.7  23.0 99.0 99.00 
2022 08 01 01 00 217  5.0  5.8 99.00 99.00 99.00 999 1019.3  25.6  25.7  22.9 99.0 99.00 
2022 08 01 01 10 217  5.2  6.4 99.00 99.00 99.00 999 1019.3  25.6  25.7  22.7 99.0 99.00 
2022 08 01 01 20 215  5.2  6.3 99.00 99.00 99.00 999 1019.4  25.6  25.7  22.6 99.0 99.00 
2022 08 01 01 30 216  5.2  6.5 99.00 99.00 99.00 999 1019.3  25.6  25.7  22.3 99.0 99.00 
2022 08 01 01 40 219  5.2  6.6  0.49 10.00  4.32 121 1019.2  25.7  25.6  22.3 99.0 99.00 
2022 08 01 01 50 216  5.1  6.2 99.00 99.00 99.00 999 1019.2  25.6  25.6  22.4 99.0 99.00 
2022 08 01 02 00 213  5.2  6.1 99.00 99.00 99.00 999 1019.1  25.6  25.6  22.3 99.0 99.00 
2022 08 01 02 10 212  5.1  6.5 99.00 99.00 99.00 999 1019.1  25.6  25.6  22.4 99.0 99.00 
2022 08 01 02 20 211  5.4  6.9 99.00 99.00 99.00 999 1018.9  25.6  25.6  22.3 99.0 99.00 
2022 08 01 02 30 210  4.8  5.8 99.00 99.00 99.00 999 1018.8  25.6  25.6  22.4 99.0 99.00 
2022 08 01 02 40 208  4.9  6.0  0.52 10.00  3.98 131 1018.7  25.6  25.6  22.3 99.0 99.00 
2022 08 01 02 50 208  4.7  5.6 99.00 99.00 99.00 999 1018.6  25.6  25.6  22.3 99.0 99.00 
2022 08 01 03 00 208  4.8  5.7 99.00 99.00 99.00 999 1018.6  25.6  25.6  22.3 99.0 99.00 
2022 08 01 03 10 205  4.9  5.8 99.00 99.00 99.00 999 1018.6  25.6  25.6  22.3 99.0 99.00 
2022 08 01 03 20 206  4.9  5.9 99.00 99.00 99.00 999 1018.5  25.6  25.6  22.3 99.0 99.00 
2022 08 01 03 30 205  5.3  6.2 99.00 99.00 99.00 999 1018.5  25.6  25.5  21.9 99.0 99.00 
2022 08 01 03 40 200  4.8  5.9  0.54 10.00  4.15 119 1018.3  25.7  25.5  22.1 99.0 99.00 
2022 08 01 03 50 199  5.0  6.1 99.00 99.00 99.00 999 1018.3  25.7  25.5  22.0 99.0 99.00 
2022 08 01 04 00 196  5.1  6.3 99.00 99.00 99.00 999 1018.1  25.7  25.5  21.9 99.0 99.00 
2022 08 01 04 10 193  5.0  6.0 99.00 99.00 99.00 999 1017.9  25.7  25.6  21.6 99.0 99.00 
2022 08 01 04 20 189  4.7  5.9 99.00 99.00 99.00 999 1017.8  25.7  25.6  21.6 99.0 99.00 
2022 08 01 04 30 185  4.6  5.6 99.00 99.00 99.00 999 1017.6  25.7  25.5  21.4 99.0 99.00 
2022 08 01 04 40 183  4.4  5.3  0.57 10.00  4.11 128 1017.7  25.7  25.5  21.6 99.0 99.00 
2022 08 01 04 50 184  4.6  5.5 99.00 99.00 99.00 999 1017.6  25.7  25.5  21.7 99.0 99.00 
2022 08 01 05 00 185  4.9  6.0 99.00 99.00 99.00 999 1017.4  25.7  25.5  21.5 99.0 99.00 
