platform_code,time,latitude,longitude,sst,battery
4101644,2022-09-27T00:00:00Z,28.6788,-67.0048,27.1,13.8
4101644,2022-09-27T01:00:00Z,28.7054,-67.0266,27.04,13.8
4101644,2022-09-27T17:00:00Z,28.7926,-67.0032,26.93,13.6
4101644,2022-09-27T18:00:00Z,28.7892,-67.0292,26.96,13.4
4101644,2022-09-27T19:00:00Z,28.7914,-67.0586,26.97,13.4
4101644,2022-09-27T20:00:00Z,28.798,-67.0892,26.91,13.2
4101644,2022-09-27T21:00:00Z,28.8082,-67.1198,26.87,13.4
4101644,2022-09-27T22:00:00Z,28.8214,-67.1494,26.86,13.4
4101644,2022-09-27T23:00:00Z,28.8392,-67.175,26.84,13.6
4101644,2022-09-28T00:00:00Z,28.862,-67.1968,26.8,13.2
4101644,2022-09-28T01:00:00Z,28.8872,-67.2148,26.76,13.6
4101644,2022-09-28T08:00:00Z,29.0308,-67.1708,26.65,13.4
4101644,2022-09-28T09:00:00Z,29.0316,-67.1548,26.65,13.4
4101644,2022-09-28T10:00:00Z,29.0264,-67.1436,26.64,13.4
4101644,2022-09-28T11:00:00Z,29.0186,-67.138,26.64,13.2
4101644,2022-09-28T12:00:00Z,29.0084,-67.1372,26.66,13.2
4101644,2022-09-28T13:00:00Z,28.9956,-67.143,26.64,13.4
4101644,2022-09-28T14:00:00Z,28.9846,-67.1566,26.72,13.4
4101644,2022-09-28T15:00:00Z,28.9764,-67.1736,26.79,13.8
4101644,2022-09-28T16:00:00Z,28.9706,-67.193,26.87,13.8
4101644,2022-09-28T17:00:00Z,28.9658,-67.2162,26.94,13.8
4101644,2022-09-28T18:00:00Z,28.9584,-67.2472,27.25,14
4101644,2022-09-28T19:00:00Z,28.9546,-67.2874,27.37,14
4101644,2022-09-28T20:00:00Z,28.9566,-67.3314,27.34,13.8
4101644,2022-09-28T21:00:00Z,28.9634,-67.3766,27.37,13.8
4101644,2022-09-28T22:00:00Z,28.9746,-67.4198,27.3,14
4101644,2022-09-28T23:00:00Z,28.9906,-67.4586,27.27,14
4101644,2022-09-29T00:00:00Z,29.0134,-67.4904,27.26,14
4101644,2022-09-29T01:00:00Z,29.0402,-67.515,27.22,14
4101644,2022-09-29T04:00:00Z,29.1214,-67.5348,27.04,13.6
4101644,2022-09-29T07:00:00Z,29.1384,-67.4936,27.32,13.6
4101644,2022-09-29T09:00:00Z,29.1172,-67.4766,27.38,13.4
4101644,2022-09-29T10:00:00Z,29.0994,-67.4712,27.41,13.4
4101644,2022-09-29T11:00:00Z,29.0788,-67.4696,27.43,13.6
4101644,2022-09-29T12:00:00Z,29.0556,-67.4726,27.41,13.2
4101644,2022-09-29T13:00:00Z,29.0318,-67.4808,27.42,13.2
4101644,2022-09-29T14:00:00Z,29.0104,-67.4952,27.53,13.4
4101644,2022-09-29T15:00:00Z,28.9918,-67.516,27.63,13.4
4101644,2022-09-29T16:00:00Z,28.9788,-67.543,27.7,13.4
4101644,2022-09-29T17:00:00Z,28.9694,-67.5738,27.74,13.2
4101644,2022-09-29T18:00:00Z,28.965,-67.609,27.82,13.2
4101644,2022-09-29T19:00:00Z,28.9672,-67.6466,27.85,13.4
4101644,2022-09-29T20:00:00Z,28.9744,-67.6818,27.84,13.4
4101644,2022-09-29T21:00:00Z,28.9854,-67.714,27.83,13.4
4101644,2022-09-29T22:00:00Z,29.0004,-67.7438,27.75,13.6
4101644,2022-09-29T23:00:00Z,29.0196,-67.771,27.75,13.6
4101644,2022-09-30T00:00:00Z,29.0416,-67.7884,27.72,13.4
4101644,2022-09-30T01:00:00Z,29.0632,-67.7978,27.65,13.2
4101644,2022-09-30T02:00:00Z,29.0832,-67.8022,27.56,13.4
4101644,2022-09-30T05:00:00Z,29.1258,-67.7884,27.5,13.4
4101644,2022-09-30T09:00:00Z,29.1202,-67.7554,27.48,13.4
4101644,2022-09-30T10:00:00Z,29.1078,-67.754,27.48,13.4
4101644,2022-09-30T12:00:00Z,29.078,-67.7654,27.5,13.4
4101644,2022-09-30T13:00:00Z,29.0626,-67.779,27.47,13.2
4101644,2022-09-30T14:00:00Z,29.0508,-67.7956,27.53,13.8
4101644,2022-09-30T15:00:00Z,29.0412,-67.8152,27.57,13.6
4101644,2022-09-30T16:00:00Z,29.0344,-67.839,27.66,13.6
4101644,2022-09-30T17:00:00Z,29.0316,-67.8656,27.7,13.6
4101644,2022-09-30T18:00:00Z,29.0364,-67.8942,27.75,13.6
4101644,2022-09-30T19:00:00Z,29.0474,-67.9226,27.76,13.6
4101644,2022-09-30T20:00:00Z,29.0616,-67.9478,27.75,13.6
4101644,2022-09-30T21:00:00Z,29.0778,-67.9678,27.65,13.6
4101644,2022-09-30T22:00:00Z,29.0972,-67.9832,27.64,13.6
4101644,2022-09-30T23:00:00Z,29.1194,-67.9942,27.65,13.4
4101644,2022-10-01T06:00:00Z,29.243,-67.937,27.52,13.2
4101644,2022-10-01T07:00:00Z,29.244,-67.9226,27.48,13.4
4101644,2022-10-01T09:00:00Z,29.2364,-67.908,27.41,13.4
4101644,2022-10-01T10:00:00Z,29.229,-67.9082,27.4,13.2
4101644,2022-10-01T11:00:00Z,29.2224,-67.9142,27.38,13.2
4101644,2022-10-01T12:00:00Z,29.2174,-67.925,27.33,13.2
4101644,2022-10-01T13:00:00Z,29.2132,-67.9384,27.35,13.4
4101644,2022-10-01T14:00:00Z,29.2102,-67.9554,27.37,13.4
4101644,2022-10-01T15:00:00Z,29.2094,-67.9736,27.45,13.4
4101644,2022-10-01T16:00:00Z,29.2138,-67.9944,27.48,13.2
4101644,2022-10-01T17:00:00Z,29.223,-68.0162,27.52,13.4
